valuedatetime,Month,datavalue,variable,units,sitecode,sitename,site-variable,year
12/14/2005 15:13,,18,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
12/14/2005 16:13,,18,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
4/25/2006 10:10,,19.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
4/25/2006 11:10,,15.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
4/25/2006 14:21,,20.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
4/25/2006 15:21,,20.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
5/30/2006 8:52,,15.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
5/30/2006 9:52,,14.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
5/30/2006 13:10,,13.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
5/30/2006 14:10,,13.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
6/28/2006 9:10,,10.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
6/28/2006 10:10,,10.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
6/28/2006 14:12,,10.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
6/28/2006 15:12,,12,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
7/24/2006 8:29,,17.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
7/24/2006 9:29,,17,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
7/24/2006 12:10,,17.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
7/24/2006 13:10,,17,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
8/15/2006 9:39,,9,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
8/15/2006 10:39,,13.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2006
